可能区域,室内/室外,大区域,小区域,物体名,朝向,题材风格,状态,是否抠图,尺寸,是否静态,滤镜模板序号,变体序号
民居-客栈-大宅,室内,民居,堂屋,茶几,无,国风仙侠,正常,抠图,64,静态,,1
民居-客栈-大宅,室内,民居,堂屋,茶案,无,国风仙侠,正常,抠图,64,静态,,1
民居-客栈-大宅,室内,民居,堂屋,长案,无,国风仙侠,正常,抠图,128,静态,,1
民居-大宅-客栈,室内,民居,卧房,梳妆台,无,国风仙侠,正常,抠图,64,静态,,1
铁匠铺-丹房,室内,铁匠铺,工作台,工作台,无,国风仙侠,正常,抠图,64,静态,,1
民居-客栈-酒馆-商铺,室内,民居,厨房,案板,无,国风仙侠,正常,抠图,64,静态,,1
商铺-酒馆-茶馆-客栈-衙门,室内,商铺,柜台区,柜台,无,国风仙侠,正常,抠图,128,静态,,1
民居-客栈-大宅-书院,室内,民居,书房,书架,无,国风仙侠,正常,抠图,128,静态,,1
民居-客栈-大宅-书院,室内,民居,书房,书柜,无,国风仙侠,正常,抠图,128,静态,,1
民居-客栈-大宅,室内,民居,卧房,储物柜,无,国风仙侠,正常,抠图,128,静态,,1
民居-客栈-大宅,室内,民居,卧房,衣柜,无,国风仙侠,正常,抠图,128,静态,,1
民居-客栈-大宅,室内,民居,厨房,橱柜,无,国风仙侠,正常,抠图,128,静态,,1
商铺-酒馆-茶馆,室内,商铺,柜台区,货架,无,国风仙侠,正常,抠图,128,静态,,1
商铺-酒馆-茶馆,室内,商铺,柜台区,展示柜,无,国风仙侠,正常,抠图,128,静态,,1
衙门-书院-医馆,室内,衙门,公房,文柜,无,国风仙侠,正常,抠图,128,静态,,1
民居-客栈-大宅,室内,民居,卧房,抽屉柜,无,国风仙侠,正常,抠图,128,静态,,1
民居-客栈-大宅,室内,民居,玄关,鞋柜,无,国风仙侠,正常,抠图,128,静态,,1
民居-客栈-大宅,室内,民居,卧房,五斗柜,无,国风仙侠,正常,抠图,128,静态,,1
酒馆-大宅-客栈,室内,酒馆,酒窖,酒柜,无,国风仙侠,正常,抠图,128,静态,,1
大宅-民居-客栈-戏楼,室内,大宅,会客厅,屏风,无,国风仙侠,正常,抠图,128,静态,,1
衙门-商铺-大宅,室内,衙门,库房,保险柜,无,国风仙侠,正常,抠图,64,静态,,1
民居-客栈-大宅-书院,室内,民居,书房,台灯,无,国风仙侠,正常,抠图,32,静态,,1
大宅-民居,室内,大宅,会客厅,落地灯,无,国风仙侠,正常,抠图,64,静态,,1
酒馆-戏楼-大宅,室内,酒馆,堂食区,吊灯,无,国风仙侠,正常,抠图,64,静态,,1
民居-客栈-大宅-商铺-酒馆-茶馆,室内,民居,堂屋,壁灯,无,国风仙侠,正常,抠图,32,静态,,1
门派-道观-寺庙-大宅-民居,室内,寺庙,正殿,烛台,无,国风仙侠,正常,抠图,32,动态,,1
民居-客栈-大宅-门派-道观-寺庙,室内,民居,卧房,蜡烛,无,国风仙侠,正常,抠图,16,动态,,1
民居-客栈-大宅-客栈,室内,民居,书房,油灯,无,国风仙侠,正常,抠图,32,动态,,1
城镇-古镇-村庄-园林-公园-门派-道观-寺庙,室外,古镇,石板街,灯笼,无,国风仙侠,正常,抠图,64,动态,,1
城镇-古镇-村庄,室外,城镇,街道,路灯,无,国风仙侠,正常,抠图,128,静态,,1
园林-公园-门派-道观-寺庙,室外,园林,水景,石灯,无,国风仙侠,正常,抠图,64,静态,,1
门派-道观-寺庙-遗迹-古战场-墓地-地牢-城镇,室外,门派,山门,火把,无,国风仙侠,正常,抠图,64,动态,,1
荒野-山地-古战场,室外,荒野,营地,篝火,无,国风仙侠,正常,抠图,64,动态,,1
门派-道观-寺庙-大宅-地牢,室内,寺庙,正殿,火盆,无,国风仙侠,正常,抠图,64,动态,,1
城镇-古镇-村庄-山地,室外,城镇,街道,提灯,无,国风仙侠,正常,抠图,32,动态,,1
大宅-民居,室内,大宅,会客厅,地毯,无,国风仙侠,正常,未裁剪,128,静态,,1
大宅-门派,室内,大宅,会客厅,挂毯,无,国风仙侠,正常,抠图,128,静态,,1
民居-客栈-大宅,室内,民居,卧房,窗帘,无,国风仙侠,正常,抠图,64,静态,,1
民居-客栈-大宅,室内,民居,卧房,抱枕,无,国风仙侠,正常,抠图,32,静态,,1
民居-客栈-大宅-酒馆,室内,民居,堂屋,桌布,无,国风仙侠,正常,抠图,32,静态,,1
民居-客栈-大宅-园林-公园,室内,民居,庭院,盆栽,无,国风仙侠,正常,抠图,32,静态,,1
大宅-民居,室内,大宅,会客厅,花瓶,无,国风仙侠,正常,抠图,32,静态,,1
民居-客栈-大宅-园林-公园,室内,民居,庭院,绿植,无,国风仙侠,正常,抠图,32,静态,,1
民居-客栈-大宅-书院-大宅,室内,民居,书房,画框,无,国风仙侠,正常,抠图,64,静态,,1
民居-客栈-大宅-书院-大宅,室内,民居,书房,字画,无,国风仙侠,正常,抠图,64,静态,,1
商铺-酒馆-茶馆-门派-道观-寺庙-衙门-书院-医馆,室外,商铺,柜台区,匾额,无,国风仙侠,正常,抠图,64,静态,,1
民居-客栈-大宅,室内,民居,卧房,镜子,无,国风仙侠,正常,抠图,64,静态,,1
大宅,室内,大宅,会客厅,挂钟,无,国风仙侠,正常,抠图,32,静态,,1
民居-客栈-大宅,室内,民居,堂屋,相框,无,国风仙侠,正常,抠图,32,静态,,1
城镇-古镇-村庄-商铺-酒馆-茶馆,室外,城镇,街道,立牌,无,国风仙侠,正常,抠图,64,静态,,1
门派-道观-寺庙-城镇-古战场,室外,门派,山门,旗帜,无,国风仙侠,正常,抠图,128,动态,,1
城镇-古镇-村庄-商铺-酒馆-茶馆,室外,城镇,集市,横幅,无,国风仙侠,正常,抠图,64,动态,,1
民居-客栈-酒馆,室内,民居,厨房,灶台,无,国风仙侠,正常,抠图,64,静态,,1
民居-客栈-酒馆,室内,民居,厨房,煮锅,无,国风仙侠,正常,抠图,64,静态,,1
民居-客栈-酒馆,室内,民居,厨房,炒锅,无,国风仙侠,正常,抠图,64,静态,,1
民居-客栈-酒馆,室内,民居,厨房,菜刀,无,国风仙侠,正常,抠图,32,静态,,1
民居-客栈-酒馆,室内,民居,厨房,碗,无,国风仙侠,正常,抠图,32,静态,,1
民居-客栈-酒馆,室内,民居,厨房,盘,无,国风仙侠,正常,抠图,32,静态,,1
民居-客栈-酒馆,室内,民居,厨房,杯,无,国风仙侠,正常,抠图,32,静态,,1
民居-客栈-酒馆,室内,民居,厨房,茶壶,无,国风仙侠,正常,抠图,64,静态,,1
民居-客栈-酒馆,室内,民居,厨房,蒸笼,无,国风仙侠,正常,抠图,64,静态,,1
民居-客栈-酒馆,室内,民居,厨房,水缸,无,国风仙侠,正常,抠图,64,静态,,1
酒馆-客栈-大宅,室内,酒馆,酒窖,酒坛,无,国风仙侠,正常,抠图,32,静态,,1
民居-客栈-酒馆,室内,民居,厨房,调料架,无,国风仙侠,正常,抠图,32,静态,,1
民居-客栈-大宅-客栈,室内,民居,净房,浴桶,无,国风仙侠,正常,抠图,64,静态,,1
民居-客栈-大宅,室内,民居,净房,洗手池,无,国风仙侠,正常,抠图,32,静态,,1
民居-客栈-大宅,室内,民居,净房,毛巾架,无,国风仙侠,正常,抠图,32,静态,,1
草原-荒野-农场-民居,室外,农场,灌溉沟,水桶,无,国风仙侠,正常,抠图,32,静态,,1
民居-客栈-大宅-门派-道观-寺庙,室内,民居,庭院,扫帚,无,国风仙侠,正常,抠图,32,静态,,1
商铺-酒馆-茶馆,室内,商铺,柜台区,收银台,无,国风仙侠,正常,抠图,128,静态,,1
商铺-城镇,室内,商铺,肉铺,冷柜,无,国风仙侠,正常,抠图,64,静态,,1
商铺-城镇,室内,商铺,肉铺,肉案,无,国风仙侠,正常,抠图,64,静态,,1
城镇-村庄-古镇,室外,城镇,集市,菜摊,无,国风仙侠,正常,抠图,64,静态,,1
城镇-村庄-古镇,室外,城镇,集市,水果摊,无,国风仙侠,正常,抠图,64,静态,,1
商铺,室内,商铺,布庄,布庄货架,无,国风仙侠,正常,抠图,128,静态,,1
商铺-酒馆-茶馆,室外,商铺,柜台区,招牌,无,国风仙侠,正常,抠图,64,静态,,1
商铺-酒馆-茶馆-客栈,室外,酒馆,门前,幌子,无,国风仙侠,正常,抠图,64,动态,,1
城镇-商铺,室外,城镇,集市,购物篮,无,国风仙侠,正常,抠图,32,静态,,1
书院-民居-大宅,室内,书院,藏书阁,书本,无,国风仙侠,正常,抠图,32,静态,,1
书院-民居,室内,书院,藏书阁,书堆,无,国风仙侠,正常,抠图,32,静态,,1
衙门-书院,室内,衙门,公房,文书,无,国风仙侠,正常,抠图,32,静态,,1
书院-大宅,室内,书院,讲堂,地球仪,无,国风仙侠,正常,抠图,32,静态,,1
书院,室内,书院,讲堂,黑板,无,国风仙侠,正常,抠图,128,静态,,1
书院,室内,书院,讲堂,讲台,无,国风仙侠,正常,抠图,64,静态,,1
书院,室内,书院,讲堂,课桌,无,国风仙侠,正常,抠图,64,静态,,1
民居-客栈-大宅-书院,室内,民居,书房,文房四宝,无,国风仙侠,正常,抠图,32,静态,,1
园林-公园-城镇,室外,公园,草坪,喷泉,无,国风仙侠,正常,抠图,128,动态,,1
门派-道观-寺庙-园林-公园-城镇,室外,门派,山门,石雕像,无,国风仙侠,正常,抠图,128,静态,,1
园林-公园,室外,公园,草坪,天使雕像,无,国风仙侠,正常,抠图,128,静态,,1
城镇-古镇-村庄,室外,城镇,街道,垃圾桶,无,国风仙侠,正常,抠图,32,静态,,1
园林-公园-门派-道观-寺庙,室外,园林,水景,石灯笼,无,国风仙侠,正常,抠图,64,静态,,1
城镇-古镇-村庄,室外,城镇,街道,邮筒,无,国风仙侠,正常,抠图,64,静态,,1
园林-公园,室外,公园,步道,长凳,无,国风仙侠,正常,抠图,64,静态,,1
城镇-古镇-村庄,室外,城镇,街道,井盖,无,国风仙侠,正常,未裁剪,16,静态,,1
园林-公园-城镇-河流,室外,园林,水景,护栏,无,国风仙侠,正常,抠图,64,静态,,1
园林-公园-城镇,室外,公园,花坛,花坛,无,国风仙侠,正常,未裁剪,64,静态,,1
村庄-城镇-民居,室外,村庄,水井区,水井,无,国风仙侠,正常,抠图,64,静态,,1
遗迹-古战场-墓地-门派-道观-寺庙,室外,遗迹,石碑区,石碑,无,国风仙侠,正常,抠图,128,静态,,1
古镇-城镇-门派,室外,古镇,牌坊,牌坊,无,国风仙侠,正常,抠图,256,静态,,1
草原-荒野-农场-村庄,室外,农场,耕地,锄头,无,国风仙侠,正常,抠图,32,静态,,1
草原-荒野-农场-村庄,室外,农场,耕地,镰刀,无,国风仙侠,正常,抠图,32,静态,,1
草原-荒野-农场-村庄,室外,农场,耕地,喷壶,无,国风仙侠,正常,抠图,32,静态,,1
草原-荒野-农场-村庄,室外,农场,耕地,犁,无,国风仙侠,正常,抠图,64,静态,,1
草原-荒野-农场-村庄,室外,农场,耕地,磨盘,无,国风仙侠,正常,抠图,64,静态,,1
草原-荒野-农场-村庄,室外,农场,耕地,马槽,无,国风仙侠,正常,抠图,64,静态,,1
草原-荒野-农场-村庄,室外,农场,耕地,木桶,无,国风仙侠,正常,抠图,64,静态,,1
草原-荒野-农场-村庄,室外,农场,耕地,铁桶,无,国风仙侠,正常,抠图,64,静态,,1
草原-荒野-农场-村庄,室外,农场,耕地,稻草人,无,国风仙侠,正常,抠图,128,静态,,1
农场-牧场,室外,农场,畜栏,堆肥箱,无,国风仙侠,正常,抠图,64,静态,,1
河流-农场-村庄,室外,河流,河道,水车,无,国风仙侠,正常,抠图,256,动态,,1
农场-村庄,室外,农场,谷仓外,谷仓门,无,国风仙侠,正常,抠图,128,静态,,1
牧场-农场-村庄,室外,牧场,围栏区,围栏,无,国风仙侠,正常,未裁剪,64,静态,,1
草原-荒野-农场-村庄,室外,农场,菜圃,栅栏,无,国风仙侠,正常,未裁剪,64,静态,,1
农场-森林,室外,农场,果园,蜂箱,无,国风仙侠,正常,抠图,32,静态,,1
农场-村庄,室外,农场,畜栏,鸡舍,无,国风仙侠,正常,抠图,128,静态,,1
民居-农场-村庄,室外,民居,庭院,狗窝,无,国风仙侠,正常,抠图,64,静态,,1
农场-牧场-村庄,室外,农场,晒谷场,草堆,无,国风仙侠,正常,抠图,64,静态,,1
牧场-农场,室外,牧场,干草棚,干草堆,无,国风仙侠,正常,抠图,64,静态,,1
森林-竹林-山地-草原-园林,室外,森林,林地,树,无,国风仙侠,正常,抠图,128,静态,,1
森林-竹林-山地-草原-园林,室外,森林,林地,枫树,无,国风仙侠,正常,抠图,128,静态,,1
森林-竹林-山地-草原-园林,室外,森林,林地,杨树,无,国风仙侠,正常,抠图,128,静态,,1
森林-竹林-山地-草原-园林,室外,森林,林地,松树,无,国风仙侠,正常,抠图,128,静态,,1
森林-竹林-山地-草原-园林,室外,森林,林地,柳树,无,国风仙侠,正常,抠图,128,静态,,1
森林-竹林-山地-草原-园林,室外,森林,林地,枯树,无,国风仙侠,正常,抠图,128,静态,,1
森林-竹林-山地-草原-园林,室外,森林,林地,古树,无,国风仙侠,正常,抠图,128,静态,,1
森林-竹林-山地,室外,森林,林地,树干,无,国风仙侠,正常,抠图,64,静态,,1
森林-竹林-山地-铁匠铺,室外,森林,林区,原木,无,国风仙侠,正常,抠图,64,静态,,1
森林-竹林-山地,室外,森林,林地,树桩,无,国风仙侠,正常,抠图,32,静态,,1
荒野-森林-草原,室外,荒野,灌木丛,灌木,无,国风仙侠,正常,抠图,64,静态,,1
草原-荒野-农场-森林-竹林-山地,室外,草原,草地,草,无,国风仙侠,正常,抠图,32,静态,,1
草原-园林-森林,室外,草原,花田,花,无,国风仙侠,正常,抠图,32,静态,,1
森林-竹林-山地,室外,森林,菌菇丛,蘑菇,无,国风仙侠,正常,抠图,32,静态,,1
森林-竹林-山地-遗迹,室外,森林,藤蔓区,藤蔓,无,国风仙侠,正常,抠图,64,静态,,1
竹林-园林-门派,室外,竹林,竹丛,竹子,无,国风仙侠,正常,抠图,128,静态,,1
沼泽-湖泊-河流,室外,沼泽,芦苇荡,芦苇,无,国风仙侠,正常,抠图,64,静态,,1
湖泊-园林,室外,湖泊,荷塘,荷花,无,国风仙侠,正常,抠图,32,静态,,1
湖泊-园林,室外,湖泊,荷塘,荷叶,无,国风仙侠,正常,未裁剪,32,静态,,1
仙山-森林-门派,室外,仙山,灵脉,月光花,无,国风仙侠,正常,抠图,32,动态,,1
仙山-山地-门派,室外,仙山,灵脉,仙草,无,国风仙侠,正常,抠图,32,静态,,1
山地-荒野-洞穴,室外,山地,岩石区,石头,无,国风仙侠,正常,抠图,64,静态,,1
山地-荒野-洞穴,室外,山地,岩石区,石块,无,国风仙侠,正常,抠图,64,静态,,1
山地-荒野-洞穴,室外,山地,岩石区,岩石,无,国风仙侠,正常,抠图,64,静态,,1
山地-荒野-洞穴,室外,山地,岩石区,矿石,无,国风仙侠,正常,抠图,64,静态,,1
山地-荒野-洞穴,室外,山地,岩石区,石柱,无,国风仙侠,正常,抠图,64,静态,,1
海岸-湖泊,室外,海岸,礁石区,礁石,无,国风仙侠,正常,抠图,64,静态,,1
洞穴,室外,洞穴,钟乳洞,钟乳石,无,国风仙侠,正常,抠图,128,静态,,1
洞穴-仙山,室外,洞穴,晶洞,晶簇,无,国风仙侠,正常,抠图,32,静态,,1
墓地-遗迹,室外,墓地,坟茔,墓碑,无,国风仙侠,正常,抠图,64,静态,,1
荒野-沙漠-古战场-地牢,室外,荒野,骸骨区,骸骨,无,国风仙侠,正常,抠图,32,静态,,1
海岸-河流-湖泊,室外,海岸,潮间带,浮木,无,国风仙侠,正常,抠图,64,静态,,1
园林-公园-大宅,室外,园林,假山,假山,无,国风仙侠,正常,抠图,256,静态,,1
民居-客栈-大宅-商铺-酒馆-茶馆-门派-道观-寺庙,室外,民居,玄关,门,无,国风仙侠,正常,抠图,128,静态,,1
大宅-衙门-门派,室外,大宅,会客厅,双开门,无,国风仙侠,正常,抠图,128,静态,,1
园林-公园-门派-道观-寺庙,室外,园林,回廊,拱门,无,国风仙侠,正常,抠图,256,静态,,1
地牢-衙门,室内,地牢,牢房,牢门,无,国风仙侠,正常,抠图,128,静态,,1
民居-客栈-大宅-商铺-酒馆-茶馆,室外,民居,堂屋,窗户,无,国风仙侠,正常,抠图,64,静态,,1
门派-道观-寺庙-园林-公园-城镇,室外,门派,山门,台阶,无,国风仙侠,正常,未裁剪,64,静态,,1
大宅-客栈-戏楼,室内,大宅,会客厅,楼梯,无,国风仙侠,正常,抠图,128,静态,,1
河流-园林-湖泊,室外,河流,河道,石桥,水平,国风仙侠,正常,未裁剪,128,静态,,1
河流-森林-村庄,室外,河流,河道,木桥,水平,国风仙侠,正常,未裁剪,128,静态,,1
河流-园林,室外,河流,踏石,踏石,无,国风仙侠,正常,未裁剪,32,静态,,1
山地-海岸,室外,山地,岩壁,栈道,无,国风仙侠,正常,未裁剪,128,静态,,1
门派-道观-寺庙-大宅-戏楼,室内,寺庙,正殿,柱子,无,国风仙侠,正常,抠图,128,静态,,1
民居-客栈-大宅-门派-道观-寺庙,室内,民居,堂屋,梁,无,国风仙侠,正常,抠图,128,静态,,1
民居-客栈-大宅-城镇-古镇-村庄,室外,民居,民居区,屋顶,无,国风仙侠,正常,未裁剪,256,静态,,1
民居-客栈-大宅-铁匠铺,室外,民居,厨房,烟囱,无,国风仙侠,正常,抠图,64,静态,,1
民居-客栈-大宅-商铺-渔场,室内,民居,储藏室,木箱,无,国风仙侠,正常,抠图,64,静态,,1
衙门-地牢,室内,衙门,库房,铁箱,无,国风仙侠,正常,抠图,64,静态,,1
农场-城镇-商铺,室外,农场,谷仓外,麻袋,无,国风仙侠,正常,抠图,32,静态,,1
民居-客栈-大宅-酒馆-商铺,室内,民居,厨房,坛罐,无,国风仙侠,正常,抠图,32,静态,,1
城镇-农场-民居,室外,城镇,集市,篮筐,无,国风仙侠,正常,抠图,32,静态,,1
地牢-遗迹-大宅,室内,地牢,宝库,宝箱,无,国风仙侠,正常,抠图,64,静态,,1
铁匠铺,室外,铁匠铺,料场,油桶,无,国风仙侠,正常,抠图,64,静态,,1
客栈-民居,室内,客栈,客房,行李箱,无,国风仙侠,正常,抠图,64,静态,,1
城镇-渔场-商铺,室外,城镇,集市,货物堆,无,国风仙侠,正常,抠图,64,静态,,1
门派-道观-寺庙-大宅,室内,门派,演武场,剑,无,国风仙侠,正常,抠图,64,静态,,1
衙门-门派-古战场,室内,衙门,库房,盾,无,国风仙侠,正常,抠图,64,静态,,1
衙门-门派-古战场,室内,衙门,库房,长矛,无,国风仙侠,正常,抠图,64,静态,,1
门派-道观-寺庙-古战场,室内,门派,演武场,弓,无,国风仙侠,正常,抠图,64,静态,,1
门派-道观-寺庙-衙门,室内,门派,演武场,武器架,无,国风仙侠,正常,抠图,128,静态,,1
古战场-城镇,室外,古战场,残垣,箭塔,无,国风仙侠,正常,抠图,256,静态,,1
古战场-城镇,室外,古战场,战壕,拒马,无,国风仙侠,正常,抠图,64,静态,,1
古战场,室外,古战场,战壕,沙袋,无,国风仙侠,正常,抠图,32,静态,,1
门派-道观-寺庙,室外,门派,演武场,靶子,无,国风仙侠,正常,抠图,64,静态,,1
门派-道观-寺庙,室外,门派,演武场,训练假人,无,国风仙侠,正常,抠图,128,静态,,1
城镇-古战场,室外,城镇,街道,城墙垛口,无,国风仙侠,正常,未裁剪,128,静态,,1
门派-道观-寺庙-祭坛-遗迹,室内,寺庙,正殿,祭坛,无,国风仙侠,正常,抠图,128,静态,,1
门派-道观-寺庙,室内,寺庙,香炉院,香炉,无,国风仙侠,正常,抠图,64,动态,,1
门派-道观-寺庙,室内,寺庙,正殿,神像,无,国风仙侠,正常,抠图,128,静态,,1
寺庙,室内,寺庙,正殿,佛像,无,国风仙侠,正常,抠图,128,静态,,1
门派-道观-寺庙-民居,室内,寺庙,正殿,供桌,无,国风仙侠,正常,抠图,128,静态,,1
道观-寺庙-门派,室外,道观,三清殿,经幡,无,国风仙侠,正常,抠图,128,动态,,1
凶宅-墓地,室内,凶宅,灵堂,棺材,无,国风仙侠,正常,抠图,128,静态,,1
丹房-道观-祭坛,室内,丹房,法阵厅,法阵,无,国风仙侠,正常,未裁剪,128,动态,,1
道观-丹房,室内,道观,静室,符箓,无,国风仙侠,正常,抠图,32,静态,,1
寺庙-道观,室内,寺庙,正殿,木鱼,无,国风仙侠,正常,抠图,32,静态,,1
遗迹-古战场-墓地,室外,遗迹,残垣,断墙,无,国风仙侠,正常,未裁剪,128,静态,,1
遗迹-古战场-墓地-古战场,室外,遗迹,残垣,瓦砾堆,无,国风仙侠,正常,抠图,64,静态,,1
遗迹-古战场-墓地,室外,遗迹,地宫入口,塌陷地,无,国风仙侠,正常,未裁剪,128,静态,,1
遗迹-古战场-墓地,室外,遗迹,断柱群,枯藤残柱,无,国风仙侠,正常,抠图,128,静态,,1
荒野-古战场-山地,室外,荒野,营地,帐篷,无,国风仙侠,正常,抠图,128,静态,,1
城镇-古镇-村庄-园林-公园,室外,城镇,集市,花环,无,国风仙侠,正常,抠图,32,静态,,1
民居-客栈-大宅-商铺-酒馆-茶馆,室内,民居,堂屋,礼盒,无,国风仙侠,正常,抠图,32,静态,,1
城镇-古镇-村庄,室外,城镇,中心广场,烟花,无,国风仙侠,正常,抠图,64,动态,,1
城镇-古镇-村庄,室外,古镇,石板街,节庆灯笼,无,国风仙侠,正常,抠图,64,动态,,1
城镇-古镇-村庄,室外,城镇,商业街,彩灯,无,国风仙侠,正常,抠图,32,动态,,1
门派-道观-寺庙,室内,寺庙,正殿,祭品,无,国风仙侠,正常,抠图,32,静态,,1
城镇-古镇-村庄,室外,城镇,中心广场,节日拱门,无,国风仙侠,正常,抠图,256,静态,,1
村庄-城镇-古镇,室外,村庄,民居区,平房,无,国风仙侠,正常,抠图,256,静态,,1
村庄-农场-荒野,室外,村庄,民居区,草屋,无,国风仙侠,正常,抠图,256,静态,,1
村庄-城镇-古镇,室外,村庄,民居区,木屋,无,国风仙侠,正常,抠图,256,静态,,1
村庄-城镇-古镇,室外,村庄,民居区,谷仓,无,国风仙侠,正常,抠图,256,静态,,1
农场-村庄-河流,室外,农场,谷仓外,磨坊,无,国风仙侠,正常,抠图,256,静态,,1
城镇-古战场,室外,城镇,街道,水塔,无,国风仙侠,正常,抠图,256,静态,,1
海岸,室外,海岸,灯塔崖,灯塔,无,国风仙侠,正常,抠图,256,静态,,1
城镇-古战场,室外,城镇,街道,哨塔,无,国风仙侠,正常,抠图,256,静态,,1
园林-公园,室外,园林,水景,亭子,无,国风仙侠,正常,抠图,256,静态,,1
古镇-城镇,室外,古镇,牌坊,牌楼,无,国风仙侠,正常,抠图,256,静态,,1
村庄-农场-荒野,室外,村庄,民居区,棚屋,无,国风仙侠,正常,抠图,256,静态,,1
草原-荒野-农场-森林-竹林-山地,室外,草原,草地,草地,无,国风仙侠,正常,未裁剪,16,静态,,1
草原-荒野-农场-山地,室外,农场,耕地,泥土,无,国风仙侠,正常,未裁剪,16,静态,,1
沙漠-海岸,室外,沙漠,沙丘,沙地,无,国风仙侠,正常,未裁剪,16,静态,,1
雪原,室外,雪原,雪地,雪地,无,国风仙侠,正常,未裁剪,16,静态,,1
城镇-古镇-村庄-园林-公园-门派-道观-寺庙,室外,城镇,街道,石板,无,国风仙侠,正常,未裁剪,16,静态,,1
民居-客栈-大宅-客栈-戏楼,室内,民居,堂屋,木地板,无,国风仙侠,正常,未裁剪,16,静态,,1
大宅-衙门-寺庙,室内,大宅,会客厅,青砖地,无,国风仙侠,正常,未裁剪,16,静态,,1
火山,室外,火山,熔岩流,熔岩,无,国风仙侠,正常,未裁剪,16,动态,,1
湖泊-河流-海岸-渔场,室外,湖泊,水面,水面,无,国风仙侠,正常,未裁剪,16,动态,,1
火山-古战场,室外,火山,灰烬地,灰烬地,无,国风仙侠,正常,未裁剪,16,静态,,1
山地-海岸,室外,山地,悬崖,悬崖,无,国风仙侠,正常,未裁剪,16,静态,,1
山地-草原,室外,山地,山坡,坡道,无,国风仙侠,正常,未裁剪,16,静态,,1
山地-草原,室外,山地,山顶,台地边缘,无,国风仙侠,正常,未裁剪,16,静态,,1
草原-荒野-农场-山地,室外,草原,缓坡,草坡,无,国风仙侠,正常,未裁剪,16,静态,,1
村庄-草原-农场,室外,村庄,田间小路,土路,无,国风仙侠,正常,未裁剪,16,静态,,1
城镇-古镇-村庄,室外,古镇,石板街,石板路,无,国风仙侠,正常,未裁剪,16,静态,,1
城镇,室外,城镇,街道,铺装路,无,国风仙侠,正常,未裁剪,16,静态,,1
山地-海岸,室外,山地,岩壁,栈道路,无,国风仙侠,正常,未裁剪,16,静态,,1
湖泊-河流-海岸-渔场,室外,湖泊,岸边,岸线过渡,无,国风仙侠,正常,未裁剪,16,静态,,1
沼泽-湖泊-海岸,室外,沼泽,浅滩,浅滩,无,国风仙侠,正常,未裁剪,16,静态,,1
河流-山地,室外,河流,瀑布,瀑布,无,国风仙侠,正常,未裁剪,16,动态,,1
雪原,室外,雪原,冰面,冰面,无,国风仙侠,正常,未裁剪,16,静态,,1
